Highlighting;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Yes;1;5;5;true;3485;
No;1;5;5;true;7959;
No;1;5;5;true;6520;
Yes;1;5;5;true;2104;
No;1;6;6;true;7303;
No;1;5;5;true;5509;
No;1;4;4;true;5809;
Yes;1;5;5;true;1818;
No;1;3;3;true;4500;
No;1;4;4;true;4081;
Yes;1;5;5;true;1628;
No;1;5;6;false;6381;
Yes;1;4;4;true;1750;
Yes;1;7;7;true;2728;
Yes;1;5;5;true;2422;
No;1;4;4;true;5583;
Yes;1;4;4;true;1364;
Yes;1;5;5;true;2393;
No;1;6;6;true;6713;
Yes;1;4;4;true;1726;
Yes;1;4;4;true;2855;
No;1;8;8;true;7489;
No;1;6;6;true;6302;
No;1;5;5;true;5187;
Yes;1;7;7;true;2350;
Yes;1;7;7;true;2609;
Yes;1;6;6;true;2241;
No;1;6;6;true;5705;
No;1;8;8;true;6255;
Yes;1;6;6;true;2212;
No;1;7;6;false;6729;
No;1;3;3;true;3839;
Yes;1;5;5;true;2349;
No;1;5;5;true;5145;
Yes;1;5;5;true;1751;
Yes;1;5;5;true;1887;
No;1;6;6;true;6145;
No;1;4;4;true;7566;
Yes;1;3;3;true;1277;
Yes;1;6;6;true;2062;
