Indentation;Read_Indent;Diff;expected_answer;given_answer;is_correct;time_in_milliseconds;
non-indented;8;4;6;1;false;9123;
indented;8;0;9;9;true;8466;
non-indented;4;0;5;5;true;2257;
indented;4;4;7;7;true;6221;
non-indented;6;0;3;3;true;6632;
non-indented;4;0;1;1;true;3191;
non-indented;8;2;0;0;true;12017;
indented;6;0;7;7;true;3977;
indented;8;4;5;5;true;7375;
indented;8;0;8;4;false;6578;
indented;6;4;6;6;true;8126;
non-indented;8;2;1;4;false;2771;
indented;4;4;1;1;true;7022;
non-indented;4;2;1;4;false;8389;
indented;4;2;1;1;true;6070;
indented;4;2;6;6;true;8214;
indented;4;0;1;1;true;4578;
indented;6;4;9;9;true;8686;
non-indented;8;4;8;8;true;7430;
indented;6;2;1;1;true;8246;
non-indented;4;4;7;1;false;4882;
non-indented;4;0;1;1;true;7027;
indented;4;2;1;1;true;4346;
indented;4;4;1;3;false;3357;
non-indented;6;0;0;0;true;5185;
non-indented;6;0;7;1;false;5217;
indented;8;4;1;3;false;25325;
non-indented;8;2;1;1;true;9917;
indented;8;0;8;8;true;6983;
indented;8;2;6;6;true;6327;
non-indented;6;4;3;3;true;11021;
non-indented;4;4;1;1;true;5205;
non-indented;4;4;1;1;true;3206;
non-indented;8;0;8;8;true;6873;
indented;4;0;1;1;true;3142;
non-indented;6;4;7;1;false;9424;
indented;8;4;1;1;true;7842;
non-indented;6;2;9;4;false;7077;
indented;4;0;4;4;true;9847;
indented;4;4;7;5;false;9885;
non-indented;6;2;7;8;false;14999;
indented;8;0;8;8;true;7739;
non-indented;8;0;1;1;true;4427;
indented;6;2;7;7;true;7054;
indented;4;2;1;6;false;7544;
non-indented;4;2;1;1;true;5162;
indented;4;0;1;1;true;3706;
indented;6;2;5;5;true;5665;
non-indented;6;4;6;6;true;9013;
indented;6;0;7;7;true;5224;
non-indented;4;2;6;4;false;8602;
indented;6;4;1;1;true;18009;
non-indented;6;2;0;9;false;16371;
indented;8;2;8;8;true;6499;
non-indented;6;0;7;7;true;4646;
non-indented;8;2;5;5;true;10383;
non-indented;8;0;7;7;true;4687;
non-indented;6;0;3;3;true;5286;
non-indented;8;2;4;4;true;7980;
indented;8;4;2;2;true;12784;
non-indented;4;2;1;3;false;7539;
indented;6;0;7;1;false;3608;
non-indented;6;2;2;8;false;6231;
non-indented;4;0;1;1;true;3720;
indented;8;2;5;0;false;7303;
non-indented;4;4;7;7;true;9589;
non-indented;6;4;8;2;false;13944;
non-indented;8;4;5;5;true;15241;
indented;6;4;3;3;true;6366;
indented;6;2;7;7;true;4961;
non-indented;8;4;2;2;true;13486;
indented;4;2;1;1;true;6516;
non-indented;4;4;1;7;false;4661;
non-indented;4;2;6;6;true;5441;
indented;8;2;8;9;false;7288;
non-indented;8;0;8;0;false;7462;
indented;6;2;7;7;true;13230;
indented;6;0;0;0;true;5212;
indented;6;0;9;9;true;6032;
indented;8;4;6;2;false;10377;
indented;4;4;1;1;true;2534;
non-indented;8;0;9;9;true;9282;
indented;8;2;6;6;true;7526;
indented;8;0;9;9;true;8713;
non-indented;8;4;1;8;false;8100;
non-indented;6;2;3;3;true;18760;
non-indented;6;4;9;9;true;6461;
non-indented;4;0;4;4;true;3004;
indented;4;0;1;1;true;4066;
indented;6;4;6;6;true;5698;
