Highlighting;Indentation;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Highlighted;Indented;1;1;1;true;2901;
Highlighted;Standard;1;1;1;true;2003;
None;Standard;1;1;1;true;1478;
None;Indented;1;1;1;true;1598;
None;Standard;1;2;2;true;2468;
Highlighted;Standard;1;2;2;true;1807;
Highlighted;Indented;1;3;3;true;1606;
None;Indented;1;1;1;true;1788;
Highlighted;Standard;1;1;1;true;1592;
Highlighted;Standard;1;1;1;true;1078;
None;Indented;1;1;1;true;1711;
Highlighted;Indented;1;3;3;true;1430;
Highlighted;Standard;1;2;2;true;1566;
None;Indented;1;1;1;true;1312;
None;Indented;1;2;2;true;1046;
Highlighted;Indented;1;1;1;true;1261;
None;Indented;1;0;0;true;2312;
None;Indented;1;2;2;true;1948;
Highlighted;Indented;1;1;1;true;1157;
Highlighted;Standard;1;2;2;true;1494;
Highlighted;Indented;1;0;0;true;1359;
Highlighted;Standard;1;1;1;true;2063;
None;Standard;1;0;0;true;1026;
Highlighted;Indented;1;0;0;true;2444;
Highlighted;Indented;1;0;0;true;1714;
None;Standard;1;2;2;true;2325;
Highlighted;Indented;1;3;3;true;1988;
None;Standard;1;2;1;false;3193;
None;Standard;1;2;2;true;1551;
None;Standard;1;2;2;true;2053;
None;Indented;1;2;2;true;2168;
None;Standard;1;2;1;false;2012;
None;Indented;1;0;0;true;1131;
None;Indented;1;2;2;true;1175;
Highlighted;Standard;1;2;2;true;1534;
Highlighted;Indented;1;4;4;true;1976;
None;Standard;1;2;2;true;1639;
Highlighted;Standard;1;2;2;true;978;
Highlighted;Indented;1;1;1;true;1041;
Highlighted;Indented;1;1;1;true;1118;
None;Indented;1;0;0;true;1462;
Highlighted;Standard;1;2;2;true;1366;
None;Indented;1;3;3;true;2338;
None;Standard;1;0;0;true;1461;
None;Indented;1;0;0;true;1752;
Highlighted;Indented;1;2;2;true;1092;
Highlighted;Indented;1;0;0;true;1666;
None;Standard;1;1;1;true;2416;
Highlighted;Indented;1;1;1;true;1781;
